name,description,category,subcategory,price
Organic Tomato Soup,Hearty tomato soup made from organic ingredients.,Food - Canned Goods,Soups & Broths,$9520.38
Portable Hammock with Stand,Lightweight hammock with a sturdy stand for relaxation anywhere.,Outdoor,Camping Equipment,$7832.22
Vegan Mac & Cheese,Creamy vegan mac and cheese made with cashew cheese.,Food - Frozen,Frozen Meals,$6278.10
Pesto Pasta Salad,Cold pasta salad tossed with pesto and fresh vegetables.,Food - Prepared Foods,Salads,$5750.34
Non-Stick Baking Sheet,Durable baking sheet coated for easy food release.,Kitchen,Baking Accessories,$7664.04
Electric Opener for Jars and Bottles,Easily opens jar lids and bottle caps with one touch.,Kitchen,Kitchen Gadgets,$4725.84
Multi-Function Meat Tenderizer,Kitchen tool for tenderizing meat to enhance flavors.,Kitchen,Kitchen Gadgets,$1517.52
Coffee Subscription Service,Monthly subscription for freshly roasted coffee delivered to your door.,Food,Beverages,$2715.57
Garden Vegetable Chips,"Crispy chips made from assorted garden vegetables, lightly salted.",Food - Snacks,Vegetable Snacks,$5421.88
Glass Water Bottle,Borosilicate glass water bottle with silicone sleeve.,Fitness,Hydration Gear,$5590.28
Self-Watering Planters,Planters with a self-watering feature for easy care.,Garden,Planters,$796.18
Zesty Cilantro Lime Dressing,A bright and zesty dressing perfect for salads and tacos.,Food - Condiments,Dressing,$4961.01
Compact Folding Table,Versatile folding table great for events or outdoor activities.,Outdoor,Camping Equipment,$9491.99
Digital Camera,Compact digital camera with 20MP resolution.,Electronics,Cameras & Photography,$7554.59
Mixed Berry Smoothie Pack,"Frozen berries blend perfect for smoothies, just add yogurt.",Food - Frozen Food,Frozen Fruits,$452.33
Portable Campfire,Compact campfire for grilling and warmth during camping trips.,Outdoor,Camping Equipment,$8461.08
Thai Peanut Noodles,Noodles tossed in a spicy Thai peanut sauce.,Food - Pasta,Noodles,$7169.04
Heat-Resistant Silicone Mat,Protects surfaces while baking or cooking with hot items.,Kitchen,Baking Accessories,$9357.86
Portable Ice Maker,Compact ice maker for creating ice at home or in offices.,Kitchen,Small Appliances,$4747.72
Strawberry Banana Smoothie Pack,Frozen smoothie pack with strawberries and bananas.,Food - Frozen,Frozen Snacks,$6772.73
Dark Chocolate Bars,"Rich dark chocolate bars, perfect for a sweet treat.",Food - Snacks,Chocolate Snacks,$921.07
Garden Tool Set with Carrying Bag,Complete set for garden care with a handy carrying bag.,Garden,Garden Tools,$9207.16
Chickpea Salad Deluxe,"Chickpeas mixed with fresh vegetables and herbs, a nutritious snack or salad.",Food - Produce,Prepared Salads,$3475.60
Graphic Print Leggings,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",Clothing - Activewear,Leggings,$3925.13
Electric Griddle with Lid,"Non-stick griddle for pancakes, burgers, and more.",Kitchen,Cooking Appliances,$8329.13
Sweet Chili Dipping Sauce,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.,Food - Condiments,Dips,$5770.01
Pet Hair Removal Brush,Effective brush for removing loose hair from pets.,Pets,Grooming Supplies,$7415.08
Nutty Granola Clusters,Crunchy granola clusters mixed with nuts and honey.,Food - Cereal,Granola,$6234.75
Insulated Cooler,Leak-proof cooler bag ideal for picnics and camping.,Outdoor,Camping Equipment,$8256.23
Woven Storage Baskets,Stylish baskets for organizing various items in your home.,Home,Home Organization,$8810.09
Insulated Lunch Box,Durable lunch box designed to keep food fresh and cool.,Kitchen,Food Storage Solutions,$6523.99
Saffron Rice Mix,Flavorful rice mix with saffron and spices.,Food - Grains,Rice Dishes,$2941.75
Sweet Potatoes,"Sweet and nutritious potatoes, great for roasting.",Food - Produce,Root Vegetables,$779.78
Insulated Sport Tumbler,Vacuum-insulated tumbler for beverages on the go.,Fitness,Hydration Gear,$623.87
Vegan Mayonnaise,Plant-based mayonnaise for a creamy taste.,Food - Condiments,Plant-Based Condiments,$4709.61
Chia Seeds,"Nutty flavored chia seeds, packed with nutrients.",Food - Grains,Superfoods,$8023.07
Chipotle Black Bean Burger,"Spicy black bean burgers, great on the grill.",Food - Meats,Meat Alternatives,$576.54
Fitness Tracker Band,Affordable fitness tracker with heart rate monitor.,Fitness,Wearable Technology,$2103.88
Beef Jerky,"Savory, protein-rich beef jerky for on-the-go snacking.",Food - Snacks,Meat Snacks,$4761.99
Coconut Yogurt,"Creamy yogurt made from coconut milk, dairy-free and delicious.",Food - Dairy Alternatives,Plant-Based Yogurt,$2568.89
Brownie Bites,"Fudgy brownie bites, perfect for sharing or snacking.",Food - Baked Goods,Desserts,$2691.86
Sliced Olives,"Pitted black olives, perfect for salads and pizzas.",Food - Condiments,Olives,$9271.49
Corn Tortillas,"Soft and warm corn tortillas, perfect for tacos and burritos.",Food - Bakery,Breads,$7890.20
Caramel Apple Taffy,"Sweet and chewy taffy flavored like caramel apples, great for fall.",Food - Confectionery,Chewy Candies,$5318.40
Vegan Protein Powder,Plant-based protein powder for post-workout recovery.,Health,Fitness & Nutrition,$8794.69
Berries Medley,"A mix of fresh raspberries, blueberries, and blackberries.",Food - Produce,Fresh Fruits,$8027.54
Wrist Support Brace,Comfortable support brace to relieve wrist pain.,Health,Injury Prevention & Recovery,$6443.87
Window Blinds,Adjustable window blinds for privacy and light control.,Home,Home Decor,$7138.93
Coffee Subscription Service,Monthly subscription for freshly roasted coffee delivered to your door.,Food,Beverages,$49.16
Pepper Jack Cheese Sticks,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",Food - Snacks,Savory Snacks,$3457.29
Mini Hand Gesture Drone,Toy drone that flies with gestures and is easy to control.,Toys,Remote Control Drones,$7864.65
Bamboo Bathtub Caddy,"Expandable caddy for holding books, phones, and snacks while in the bath.",Home,Home Organization,$5211.57
Ceramic Bakeware Set,Durable ceramic bakeware for casseroles and desserts.,Kitchen,Cookware,$1294.81
Natural Peanut Butter,Creamy peanut butter with no added sugar or oils.,Food - Spreads,Nut Butters,$8966.70
Roasted Garlic Aioli,Flavored aioli made with roasted garlic,Food - Condiments,Dips,$4407.57
Kids' Learning Tablet,Educational tablet designed for preschool-age children.,Electronics,Tablets for Kids,$8852.31
Classic Pumps,Elegant classic pumps that add sophistication to any outfit.,Clothing - Footwear,Women's Dress Shoes,$603.78
Brownie Bites,"Fudgy brownie bites, perfect for sharing or snacking.",Food - Baked Goods,Desserts,$4106.10
Bluetooth Car Adapter,Connect your phone to the car's audio system via Bluetooth.,Automotive,Automotive Accessories,$553.58
Puzzle Game Set,Challenging puzzle game set for family entertainment.,Toys,Board Games,$823.10
Teriyaki Sauce,Sweet and savory sauce for marinating and glazing meats or vegetables.,Food - Condiments,Asian Sauces,$4423.94
Cinnamon Spiced Almonds,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,Food - Snacks,Nuts and Trail Mix,$3516.23
Beef Stroganoff Meal Kit,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,Food - Frozen Meals,Frozen Dinner Kits,$6990.26
Karaoke Microphone,Wireless microphone for singing and performances.,Music,Audio Equipment,$5080.27
Glass Food Containers,BPA-free glass containers for safe food storage.,Kitchen,Food Storage Solutions,$9077.26
Ice Cream Maker,Homemade ice cream maker for delicious desserts.,Kitchen,Small Appliances,$5021.86
Plant Pot Drip Trays,Prevent water damage with drip trays for potted plants.,Garden,Gardening Accessories,$2933.72
Wall Calendar,Beautiful wall calendar for organizing your schedule.,Home,Decorative Wall Art & Accessories,$7503.21
Brown Sugar,"Raw brown sugar, perfect for baking or sweetening drinks.",Food - Baking,Sweeteners,$8323.38
Winter Knit Beanie,Cozy beanie hat to keep your head warm in the cold.,Clothing,Hats & Headwear,$9359.91
Trendy Bomber Jacket,A fashion-forward bomber jacket to elevate your casual looks.,Clothing - Outerwear,Jackets,$3013.05
Ceramic Planter Set,Set of decorative ceramic planters for indoor plants.,Home,Decorative Wall Art & Accessories,$921.54
Animal Paw Print Soap Dispenser,Cute dispenser for bathrooms or kitchens featuring paw prints.,Home,Home Organization,$8208.41
Field Journal,Durable journal for nature observations and notes.,Books,Journals,$1762.16
Dog Car Seat Cover,Waterproof cover to protect car seats from pet hair and dirt.,Pets,Pet Safety Gear,$5581.24
Frozen Mixed Berries,"A mix of strawberries, blueberries, and raspberries.",Food - Frozen Foods,Frozen Fruits,$2030.59
Whole Wheat Pasta,Nutritious and hearty pasta made from whole wheat flour.,Food - Grains,Pasta,$7996.70
